task,method,display,source_color,target_color,S_color,dE_improve
fe_028_butterfly_1_orange_butterfly,ours_sd3,Ours-SD3(texture),black,orange,5.497194032100565,6.319761989237463
fe_028_butterfly_1_orange_butterfly,otrf_enh_sd3,OT-RF enhanced-SD3,black,orange,1.9166819921849023,2.935757811835785
fe_028_butterfly_1_orange_butterfly,drfs_sd3,DRFS-SD3,black,orange,-3.8874084296202445,-1.1052635387149081
fe_028_butterfly_1_orange_butterfly,instruct_pix2pix,InstructPix2Pix,black,orange,29.74843219661536,28.665311407510657
fe_028_butterfly_1_orange_butterfly,ledits_pp,LEDITS++,black,orange,8.449368734235971,6.694537477523539
fe_067_cat_stone_1_black_kitten,reflex,ReFLEx,gray,black,6.996496319512541,4.33221101059571
fe_067_cat_stone_1_black_kitten,flowedit_flux,FlowEdit-FLUX,gray,black,1.819799324253079,-0.41516157089742833
fe_067_cat_stone_1_black_kitten,fireflow,FireFlow,gray,black,2.4657583508652356,1.9666584747330127
fe_067_cat_stone_1_black_kitten,ours_flux,Ours-FLUX(texture),gray,black,0.9300037490781158,1.0546416919538864
fe_067_cat_stone_1_black_kitten,rf_solver_edit,RF-Solver-Edit,gray,black,3.0772716682507686,2.5151116414785903
fe_067_cat_stone_1_black_kitten,flowedit_sd3,FlowEdit-SD3,gray,black,1.4636980893898868,1.0387239242834525
fe_067_cat_stone_1_black_kitten,splitflow_sd3,SplitFlow-SD3,gray,black,1.7610157907427848,1.361615764170626
fe_067_cat_stone_1_black_kitten,ours_sd3,Ours-SD3(texture),gray,black,-0.47873387751503516,-0.3760119342830528
fe_067_cat_stone_1_black_kitten,otrf_enh_sd3,OT-RF enhanced-SD3,gray,black,-0.1421797485553814,-0.054823789384581545
fe_067_cat_stone_1_black_kitten,drfs_sd3,DRFS-SD3,gray,black,-5.419881881568316,-5.631852225837857
fe_067_cat_stone_1_black_kitten,instruct_pix2pix,InstructPix2Pix,gray,black,13.362337384916868,8.536806346367683
fe_067_cat_stone_1_black_kitten,ledits_pp,LEDITS++,gray,black,23.332551661023818,16.889454632454655
fe_084_cupcake_2_red_velvet,reflex,ReFLEx,brown,red,7.6015404466127565,6.302974718284261
fe_084_cupcake_2_red_velvet,flowedit_flux,FlowEdit-FLUX,brown,red,7.048238295861152,5.508798500462845
fe_084_cupcake_2_red_velvet,fireflow,FireFlow,brown,red,3.219180516863034,5.361304733176453
fe_084_cupcake_2_red_velvet,ours_flux,Ours-FLUX(texture),brown,red,15.7518691234511,17.078187542594307
fe_084_cupcake_2_red_velvet,rf_solver_edit,RF-Solver-Edit,brown,red,2.32235329027557,1.6273986832493677
fe_084_cupcake_2_red_velvet,flowedit_sd3,FlowEdit-SD3,brown,red,5.240354631190586,4.014419821020908
fe_084_cupcake_2_red_velvet,splitflow_sd3,SplitFlow-SD3,brown,red,6.28367739735281,4.678163209445373
fe_084_cupcake_2_red_velvet,ours_sd3,Ours-SD3(texture),brown,red,31.999211474908066,25.704069182993123
fe_084_cupcake_2_red_velvet,otrf_enh_sd3,OT-RF enhanced-SD3,brown,red,2.8521847150005035,2.512816121675897
fe_084_cupcake_2_red_velvet,drfs_sd3,DRFS-SD3,brown,red,0.587049458192665,-3.1802288475817164
fe_084_cupcake_2_red_velvet,instruct_pix2pix,InstructPix2Pix,brown,red,34.81042025234143,37.81864579032436
fe_084_cupcake_2_red_velvet,ledits_pp,LEDITS++,brown,red,6.595609131653992,5.935843721213274
fe_114_flowers_1_orange_yellow_white,reflex,ReFLEx,white,orange,17.419642907423246,10.00056546957579
fe_114_flowers_1_orange_yellow_white,flowedit_flux,FlowEdit-FLUX,white,orange,6.949041188478404,5.5304471608164505
fe_114_flowers_1_orange_yellow_white,fireflow,FireFlow,white,orange,3.4027695439104004,3.4955946658668466
fe_114_flowers_1_orange_yellow_white,ours_flux,Ours-FLUX(texture),white,orange,14.248061785009828,14.312388695827337
fe_114_flowers_1_orange_yellow_white,rf_solver_edit,RF-Solver-Edit,white,orange,1.1795652706678417,1.1967188868926115
fe_114_flowers_1_orange_yellow_white,flowedit_sd3,FlowEdit-SD3,white,orange,3.94804438835577,4.380524974690616
fe_114_flowers_1_orange_yellow_white,splitflow_sd3,SplitFlow-SD3,white,orange,4.075790019056967,4.648754432417405
fe_114_flowers_1_orange_yellow_white,ours_sd3,Ours-SD3(texture),white,orange,16.150891330755844,14.990303458127137
fe_114_flowers_1_orange_yellow_white,otrf_enh_sd3,OT-RF enhanced-SD3,white,orange,1.661819812216451,2.144839759096854
fe_114_flowers_1_orange_yellow_white,drfs_sd3,DRFS-SD3,white,orange,2.3419680850692837,3.4011772737621584
fe_114_flowers_1_orange_yellow_white,instruct_pix2pix,InstructPix2Pix,white,orange,47.17140233627024,39.26854791058824
fe_114_flowers_1_orange_yellow_white,ledits_pp,LEDITS++,white,orange,-4.050695010638103,-0.6023750563668102
fe_115_flowers_2_blue_purple_white,reflex,ReFLEx,white,blue,15.907949579395956,10.082391025915044
fe_115_flowers_2_blue_purple_white,flowedit_flux,FlowEdit-FLUX,white,blue,10.033495555882393,9.284657440783505
fe_115_flowers_2_blue_purple_white,fireflow,FireFlow,white,blue,6.015907455903827,7.0968423909986456
fe_115_flowers_2_blue_purple_white,ours_flux,Ours-FLUX(texture),white,blue,19.36852648751104,19.449573545578723
fe_115_flowers_2_blue_purple_white,rf_solver_edit,RF-Solver-Edit,white,blue,3.44412980350323,4.437125172143681
fe_115_flowers_2_blue_purple_white,flowedit_sd3,FlowEdit-SD3,white,blue,3.2586827982883877,4.844125328208747
fe_115_flowers_2_blue_purple_white,splitflow_sd3,SplitFlow-SD3,white,blue,3.067734969450173,4.64489767120385
fe_115_flowers_2_blue_purple_white,ours_sd3,Ours-SD3(texture),white,blue,7.280134033238895,9.145068299267479
fe_115_flowers_2_blue_purple_white,otrf_enh_sd3,OT-RF enhanced-SD3,white,blue,1.627685362943902,2.662655801849766
fe_115_flowers_2_blue_purple_white,drfs_sd3,DRFS-SD3,white,blue,1.2791277641301688,2.5669543549593357
fe_115_flowers_2_blue_purple_white,instruct_pix2pix,InstructPix2Pix,white,blue,17.2272179780421,13.672064744591388
fe_115_flowers_2_blue_purple_white,ledits_pp,LEDITS++,white,blue,9.11586922563445,12.636245175191732
fe_128_gray_bird_2_red_bird,reflex,ReFLEx,gray,red,3.2554027998473387,3.0451328411401306
fe_128_gray_bird_2_red_bird,flowedit_flux,FlowEdit-FLUX,gray,red,1.101248104602402,1.3410882776269233
fe_128_gray_bird_2_red_bird,fireflow,FireFlow,gray,red,1.9507267145800178,2.855060393556329
fe_128_gray_bird_2_red_bird,ours_flux,Ours-FLUX(texture),gray,red,9.846598264516405,10.06664843070709
fe_128_gray_bird_2_red_bird,rf_solver_edit,RF-Solver-Edit,gray,red,0.23614389282978152,0.24561583450716284
fe_128_gray_bird_2_red_bird,flowedit_sd3,FlowEdit-SD3,gray,red,2.6569659761942557,3.065308421692251
fe_128_gray_bird_2_red_bird,splitflow_sd3,SplitFlow-SD3,gray,red,2.7516183172388895,3.042775511988978
fe_128_gray_bird_2_red_bird,ours_sd3,Ours-SD3(texture),gray,red,2.4425625702986857,2.7605418528083305
fe_128_gray_bird_2_red_bird,otrf_enh_sd3,OT-RF enhanced-SD3,gray,red,1.259869049744072,1.5891271099118427
fe_128_gray_bird_2_red_bird,drfs_sd3,DRFS-SD3,gray,red,1.5795669789010893,1.9716479199991142
fe_128_gray_bird_2_red_bird,instruct_pix2pix,InstructPix2Pix,gray,red,17.6122289598204,16.32032016521444
fe_128_gray_bird_2_red_bird,ledits_pp,LEDITS++,gray,red,11.999609525412666,10.804309454866058
fe_140_horse_4_brown_horse,reflex,ReFLEx,white,brown,1.9966920254856975,0.23915263883665006
fe_140_horse_4_brown_horse,flowedit_flux,FlowEdit-FLUX,white,brown,0.4367582780590535,-0.8839655785199341
fe_140_horse_4_brown_horse,fireflow,FireFlow,white,brown,-0.83251130760121,3.3863942516272587
fe_140_horse_4_brown_horse,ours_flux,Ours-FLUX(texture),white,brown,1.9855305214734293,2.0737760400126177
fe_140_horse_4_brown_horse,rf_solver_edit,RF-Solver-Edit,white,brown,1.0485245443358762,-0.1356034502681922
fe_140_horse_4_brown_horse,flowedit_sd3,FlowEdit-SD3,white,brown,0.49657329562045077,1.0254330101742966
fe_140_horse_4_brown_horse,splitflow_sd3,SplitFlow-SD3,white,brown,0.17932820387710433,1.1479194622228661
fe_140_horse_4_brown_horse,ours_sd3,Ours-SD3(texture),white,brown,2.631897935345858,3.3000358610941163
fe_140_horse_4_brown_horse,otrf_enh_sd3,OT-RF enhanced-SD3,white,brown,-0.18578129721343004,1.1561144984317835
fe_140_horse_4_brown_horse,drfs_sd3,DRFS-SD3,white,brown,0.40622412405584946,1.400948035425948
fe_140_horse_4_brown_horse,instruct_pix2pix,InstructPix2Pix,white,brown,7.478601925742959,8.689503200423765
fe_140_horse_4_brown_horse,ledits_pp,LEDITS++,white,brown,4.996588826332963,3.719831913377881
fe_141_iguana_1_green_lizard,reflex,ReFLEx,orange,green,8.901811951131847,6.787019845737234
fe_141_iguana_1_green_lizard,flowedit_flux,FlowEdit-FLUX,orange,green,8.026948155099378,6.6355997099629604
fe_141_iguana_1_green_lizard,fireflow,FireFlow,orange,green,6.7385840409476545,5.926892133231348
fe_141_iguana_1_green_lizard,ours_flux,Ours-FLUX(texture),orange,green,13.950838608978017,14.419797919038878
fe_141_iguana_1_green_lizard,rf_solver_edit,RF-Solver-Edit,orange,green,4.702408711341125,4.11730868317801
fe_141_iguana_1_green_lizard,flowedit_sd3,FlowEdit-SD3,orange,green,11.593762927989545,10.894629224309597
fe_141_iguana_1_green_lizard,splitflow_sd3,SplitFlow-SD3,orange,green,11.83766079563627,10.696427616095633
fe_141_iguana_1_green_lizard,ours_sd3,Ours-SD3(texture),orange,green,12.343770962057294,9.676685647669686
fe_141_iguana_1_green_lizard,otrf_enh_sd3,OT-RF enhanced-SD3,orange,green,5.752050435568766,5.800959564845527
fe_141_iguana_1_green_lizard,drfs_sd3,DRFS-SD3,orange,green,6.020119880167533,3.992391519472804
fe_141_iguana_1_green_lizard,instruct_pix2pix,InstructPix2Pix,orange,green,21.00548839878181,35.21405796621307
fe_141_iguana_1_green_lizard,ledits_pp,LEDITS++,orange,green,15.928633727703714,11.768372004222307
fe_199_piece_of_cake_2_red_velvet_cake,reflex,ReFLEx,brown,red,9.504540561516045,8.440748225725045
fe_199_piece_of_cake_2_red_velvet_cake,flowedit_flux,FlowEdit-FLUX,brown,red,1.328207996652178,0.8965711033317234
fe_199_piece_of_cake_2_red_velvet_cake,fireflow,FireFlow,brown,red,1.208643645630718,2.03501861442858
fe_199_piece_of_cake_2_red_velvet_cake,ours_flux,Ours-FLUX(texture),brown,red,15.309676797783844,15.46495510516634
fe_199_piece_of_cake_2_red_velvet_cake,rf_solver_edit,RF-Solver-Edit,brown,red,0.2529467567371702,-0.1585271063689646
fe_199_piece_of_cake_2_red_velvet_cake,flowedit_sd3,FlowEdit-SD3,brown,red,3.9946859392799268,4.297300371581571
fe_199_piece_of_cake_2_red_velvet_cake,splitflow_sd3,SplitFlow-SD3,brown,red,3.826192973728793,4.056517408896724
fe_199_piece_of_cake_2_red_velvet_cake,ours_sd3,Ours-SD3(texture),brown,red,3.574687991935391,3.4964308409840896
fe_199_piece_of_cake_2_red_velvet_cake,otrf_enh_sd3,OT-RF enhanced-SD3,brown,red,1.5558995184931455,2.084832070681202
fe_199_piece_of_cake_2_red_velvet_cake,drfs_sd3,DRFS-SD3,brown,red,2.5734949451961078,2.704073872103166
fe_199_piece_of_cake_2_red_velvet_cake,instruct_pix2pix,InstructPix2Pix,brown,red,8.46906035155733,7.648818926709836
fe_199_piece_of_cake_2_red_velvet_cake,ledits_pp,LEDITS++,brown,red,1.3209988660455616,0.6371067398183214
