method,method_display,n,complete_n,fixed_mask_n,local_clip_t_n,clip_t,clip_target_minus_source,clip_direction_similarity,local_clip_t,local_clip_t_full_prompt,local_clip_target_minus_source,clip_image_source_similarity,dino_source_similarity,bg_dino_source,lpips_full,lpips_outside,bg_lpips,source_l1,inside_l1,outside_l1,bg_l1,source_ssim_luma,bg_ssim_luma,eval_mask_area,dilated_edit_mask_area,bg_mask_area
scope_flux_g070,scope_flux_g070,33,33,33,33,0.2888485793814515,0.04050469985513976,0.2639085855899435,0.24569108404896475,0.2882116116357572,0.04301440806099863,0.8621114275672219,0.7992616458372637,0.9987764340458494,0.10080296986482361,0.0140276534626592,0.011792589100933224,0.02541583330568039,0.05292591483642658,0.005449316446725844,0.005102590992023717,0.9154282188715904,0.9884231054421627,0.38129240093809186,0.4459145285866477,0.5540854714133523
scope_flux_g085,scope_flux_g085,33,33,33,33,0.28781174168442236,0.03714715034672708,0.256660010976096,0.24517620242003238,0.28947928909099463,0.04156582283251213,0.8711732644023318,0.8011765186533784,0.9987863844091242,0.10330365451447891,0.01408764384254799,0.011820732039323599,0.02616324548073339,0.054375925327114986,0.005487464714061582,0.005144861487100239,0.9129740872612456,0.9883987614602754,0.38129240093809186,0.4459145285866477,0.5540854714133523
scope_flux_g115,scope_flux_g115,33,33,33,33,0.28661732240156695,0.040362662889740684,0.2696331162570101,0.2497546352220304,0.2876888369068955,0.04660783617785483,0.8587808031024355,0.7907090534766515,0.9987194700674578,0.1074060881228158,0.014905345037484287,0.01258120697126618,0.027396606761171963,0.05653021405592109,0.005767219063162691,0.005406307735635589,0.9093730237454134,0.9876905517144636,0.38129240093809186,0.4459145285866477,0.5540854714133523
scope_sd3_g070,scope_sd3_g070,33,33,33,33,0.29930298978632147,0.04351804428028338,0.27097998796538875,0.24179702952052606,0.2950947623361241,0.04575924214088556,0.8615261262113397,0.8242566540385737,0.994487130280697,0.13942301713607527,0.030232350061520596,0.027114584403038447,0.040386913400707825,0.07767377342238571,0.017057862542005198,0.016716808969662947,0.8497125017846977,0.9306516051292419,0.38129240093809186,0.4459145285866477,0.5540854714133523
scope_sd3_g085,scope_sd3_g085,33,33,33,33,0.3018808893182061,0.0485821831406969,0.2783366379074075,0.2438636322816213,0.2955918370774298,0.04899955518317945,0.8516378429802981,0.8141869080789161,0.9936933625828136,0.1443900608203628,0.031111309547365334,0.027836137758585566,0.042730499566956,0.08310661352041995,0.017463262461012964,0.017131071834062987,0.8438577323862938,0.9295151034990946,0.38129240093809186,0.4459145285866477,0.5540854714133523
scope_sd3_g115,scope_sd3_g115,33,33,33,33,0.30254582970431354,0.05155314595410318,0.28903449089689687,0.24711004396279654,0.2991749757167065,0.051772701920885025,0.8475864818601897,0.8065499139554573,0.993545109575445,0.15153214685393102,0.03217900333622696,0.028651205401260857,0.045820625611778465,0.09112836770487553,0.017865916206078095,0.017482916669299204,0.8359009291706269,0.9286131786577629,0.38129240093809186,0.4459145285866477,0.5540854714133523
splitflow_sd3_g070,splitflow_sd3_g070,33,33,33,33,0.3031452316226381,0.05217277913382559,0.29152664350289287,0.25150786475701764,0.3001095779014356,0.056922943303079315,0.8637252738981536,0.7932173352349888,0.9590468894351613,0.16343649713830513,0.07700740722374934,0.07286453359957898,0.04751270699004332,0.07207984132974436,0.03589081493290988,0.03560029991874189,0.8586898221419568,0.9022816582159563,0.38028517636385833,0.41224806236498285,0.5877519376350172
splitflow_sd3_g085,splitflow_sd3_g085,33,33,33,33,0.30380448247447156,0.05369096588004719,0.28920401158657943,0.2517925586664315,0.3007326433152864,0.05797531478332751,0.8579494772535382,0.7760911272330717,0.9550016287601355,0.18061753960721422,0.08723747374659235,0.08256966589639585,0.05080646248252103,0.0765455537334536,0.038545878660498245,0.038230471962103336,0.8465139533599824,0.8932059985218626,0.38028517636385833,0.41224806236498285,0.5877519376350172
splitflow_sd3_g100,splitflow_sd3_g100,33,33,33,33,0.3055334786574046,0.05505963572950074,0.2857733222119736,0.25146488393798017,0.30153410272164777,0.05851584447152687,0.85006711880366,0.7638490276806282,0.9517066514853275,0.19657276062802834,0.0969081882274512,0.09174503401542704,0.05394257780051592,0.080854413635803,0.041081035594371235,0.04073142359089671,0.8349837419909875,0.8845581899989735,0.38028517636385833,0.41224806236498285,0.5877519376350172
splitflow_sd3_g115,splitflow_sd3_g115,33,33,33,33,0.30577128493424616,0.0547984057303631,0.2790826763957739,0.2507995994705142,0.3010368013020718,0.05793694429325335,0.8440004641359503,0.7553887529806658,0.9487376754934137,0.21177466653964735,0.10666563852944157,0.10098041009835222,0.05702883072874763,0.08488775033390883,0.04372214398939501,0.043350330158842335,0.8235781906344782,0.8751965038704149,0.38028517636385833,0.41224806236498285,0.5877519376350172
